,Identifier,Epoch,Tile,Subtile,Version,SignalURL,RMSURL
10,VLASS1.1.T02t35.J172158-353000,VLASS1.1,T02t35,J172158-353000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T02t35/VLASS1.1.ql.T02t35.J172158-353000.10.2048.v1/VLASS1.1.ql.T02t35.J172158-353000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T02t35/VLASS1.1.ql.T02t35.J172158-353000.10.2048.v1/VLASS1.1.ql.T02t35.J172158-353000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
11,VLASS1.1.T03t14.J090023-283000,VLASS1.1,T03t14,J090023-283000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t14/VLASS1.1.ql.T03t14.J090023-283000.10.2048.v1/VLASS1.1.ql.T03t14.J090023-283000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t14/VLASS1.1.ql.T03t14.J090023-283000.10.2048.v1/VLASS1.1.ql.T03t14.J090023-283000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
12,VLASS1.1.T03t20.J125619-313000,VLASS1.1,T03t20,J125619-313000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t20/VLASS1.1.ql.T03t20.J125619-313000.10.2048.v1/VLASS1.1.ql.T03t20.J125619-313000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t20/VLASS1.1.ql.T03t20.J125619-313000.10.2048.v1/VLASS1.1.ql.T03t20.J125619-313000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
13,VLASS1.1.T03t25.J162509-293000,VLASS1.1,T03t25,J162509-293000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t25/VLASS1.1.ql.T03t25.J162509-293000.10.2048.v1/VLASS1.1.ql.T03t25.J162509-293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t25/VLASS1.1.ql.T03t25.J162509-293000.10.2048.v1/VLASS1.1.ql.T03t25.J162509-293000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
14,VLASS1.1.T03t25.J162524-303000,VLASS1.1,T03t25,J162524-303000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t25/VLASS1.1.ql.T03t25.J162524-303000.10.2048.v1/VLASS1.1.ql.T03t25.J162524-303000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t25/VLASS1.1.ql.T03t25.J162524-303000.10.2048.v1/VLASS1.1.ql.T03t25.J162524-303000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
15,VLASS1.1.T03t27.J174454-283000,VLASS1.1,T03t27,J174454-283000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t27/VLASS1.1.ql.T03t27.J174454-283000.10.2048.v1/VLASS1.1.ql.T03t27.J174454-283000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t27/VLASS1.1.ql.T03t27.J174454-283000.10.2048.v1/VLASS1.1.ql.T03t27.J174454-283000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
16,VLASS1.1.T03t27.J174926-283000,VLASS1.1,T03t27,J174926-283000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t27/VLASS1.1.ql.T03t27.J174926-283000.10.2048.v1/VLASS1.1.ql.T03t27.J174926-283000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t27/VLASS1.1.ql.T03t27.J174926-283000.10.2048.v1/VLASS1.1.ql.T03t27.J174926-283000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
17,VLASS1.1.T03t30.J192217-293000,VLASS1.1,T03t30,J192217-293000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t30/VLASS1.1.ql.T03t30.J192217-293000.10.2048.v1/VLASS1.1.ql.T03t30.J192217-293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t30/VLASS1.1.ql.T03t30.J192217-293000.10.2048.v1/VLASS1.1.ql.T03t30.J192217-293000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
18,VLASS1.1.T03t30.J192651-293000,VLASS1.1,T03t30,J192651-293000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t30/VLASS1.1.ql.T03t30.J192651-293000.10.2048.v1/VLASS1.1.ql.T03t30.J192651-293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t30/VLASS1.1.ql.T03t30.J192651-293000.10.2048.v1/VLASS1.1.ql.T03t30.J192651-293000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
19,VLASS1.1.T03t35.J225551-283000,VLASS1.1,T03t35,J225551-283000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t35/VLASS1.1.ql.T03t35.J225551-283000.10.2048.v1/VLASS1.1.ql.T03t35.J225551-283000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t35/VLASS1.1.ql.T03t35.J225551-283000.10.2048.v1/VLASS1.1.ql.T03t35.J225551-283000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
